Wind,,,,,,,,,,,,,,
Name,China: Blast Furnace Starting Rate (247),China: Blast Furnace Refining Production Capacity Utilization (247),China: Tangshan: Operating Rate of Blast Furnaces,China: Operating Rate: Deformed Steel Bar: Major Steel Mills,China: Operating Rate: Electric Furnace,China: Capacity Utilization: Electric Stove,China: Estimated Daily Average Output: Steel Products,China: Estimated Daily Average Output: Pig Iron,China: Estimated Daily Average Output: Crude Steel,China: Daily Average Output: Crude Steel,China: Estimated Daily Average Output: Coke,China: Operating Rate: Wire Rod: Major Steel Mills,China: Operating Rate: Deformed Steel Bar: Major Steel Mills,China: Operating Rate of Blast Furnaces (163 Steel Mills)
Frequency,Week,Week,Week,Week,Week,Week,Every Day,Every Day,Every Day,Week,Every Day,Week,Week,Week
Unit,%,%,%,%,%,%,10000 tons/day,10000 tons/day,10000 tons/day,10000 tons/day,10000 tons/day,%,%,%
ID,C1925068,O2244511,S5711217,S5713303,S5715650,S5715660,S5715686,S5715685,S5708247,S5704502,S5715687,S5713327,S5713303,S5708175
Time Period,2018-03-02:2024-12-20,2018-03-02:2024-12-20,2013-12-20:2024-12-20,2015-02-27:2024-12-20,2017-12-08:2024-12-20,2017-12-08:2024-12-20,2014-06-10:2024-12-10,2014-06-10:2024-12-10,2009-01-10:2024-12-10,2009-01-10:2024-12-10,2014-06-10:2021-03-10,2015-02-27:2024-12-20,2015-02-27:2024-12-20,2012-08-03:2021-12-24
Source,Wind,Wind,China United Steel Network,Wind,China United Steel Network,China United Steel Network,Steelhome,Steelhome,Steelhome,Steelhome,Steelhome,Wind,Wind,Wind
Update,2024-12-20,2024-12-20,2024-12-20,2024-12-20,2024-12-20,2024-12-20,2024-12-14,2024-12-14,2024-12-14,2024-12-14,2021-03-15,2024-12-20,2024-12-20,2023-09-20
2010-08-20,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,171.10 ,171.10 ,0.00 ,0.00 ,0.00 ,0.00 
2010-08-31,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,168.16 ,168.00 ,0.00 ,0.00 ,0.00 ,0.00 
2010-09-10,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,169.66 ,169.66 ,0.00 ,0.00 ,0.00 ,0.00 
2010-09-20,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,154.73 ,154.73 ,0.00 ,0.00 ,0.00 ,0.00 
2010-09-30,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,167.80 ,167.80 ,0.00 ,0.00 ,0.00 ,0.00 
2010-10-10,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,162.60 ,162.70 ,0.00 ,0.00 ,0.00 ,0.00 
2010-10-20,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,156.30 ,156.00 ,0.00 ,0.00 ,0.00 ,0.00 
2010-10-31,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,156.36 ,156.00 ,0.00 ,0.00 ,0.00 ,0.00 
2010-11-10,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,160.10 ,162.20 ,0.00 ,0.00 ,0.00 ,0.00 
2010-11-20,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,160.67 ,160.70 ,0.00 ,0.00 ,0.00 ,0.00 
2010-11-30,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,164.30 ,164.30 ,0.00 ,0.00 ,0.00 ,0.00 
2010-12-10,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,166.70 ,166.70 ,0.00 ,0.00 ,0.00 ,0.00 
2010-12-20,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,168.70 ,168.70 ,0.00 ,0.00 ,0.00 ,0.00 
2010-12-31,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,173.30 ,173.30 ,0.00 ,0.00 ,0.00 ,0.00 
2011-01-10,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,179.00 ,179.30 ,0.00 ,0.00 ,0.00 ,0.00 
2011-01-20,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,169.54 ,169.54 ,0.00 ,0.00 ,0.00 ,0.00 
2011-01-31,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,170.98 ,170.98 ,0.00 ,0.00 ,0.00 ,0.00 
2011-02-10,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,178.68 ,178.68 ,0.00 ,0.00 ,0.00 ,0.00 
2011-02-20,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,181.40 ,181.40 ,0.00 ,0.00 ,0.00 ,0.00 
2011-02-28,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,191.20 ,191.20 ,0.00 ,0.00 ,0.00 ,0.00 
2011-03-10,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,190.33 ,190.33 ,0.00 ,0.00 ,0.00 ,0.00 
2011-03-20,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,194.00 ,194.48 ,0.00 ,0.00 ,0.00 ,0.00 
2011-03-31,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,192.21 ,192.22 ,0.00 ,0.00 ,0.00 ,0.00 
2011-04-10,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,197.92 ,197.92 ,0.00 ,0.00 ,0.00 ,0.00 
2011-04-20,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,190.39 ,190.39 ,0.00 ,0.00 ,0.00 ,0.00 
2011-04-30,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,194.11 ,194.10 ,0.00 ,0.00 ,0.00 ,0.00 
2011-05-10,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,194.67 ,194.67 ,0.00 ,0.00 ,0.00 ,0.00 
2011-05-20,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,198.38 ,198.38 ,0.00 ,0.00 ,0.00 ,0.00 
2011-05-31,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,191.51 ,191.51 ,0.00 ,0.00 ,0.00 ,0.00 
2011-06-10,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,196.74 ,196.74 ,0.00 ,0.00 ,0.00 ,0.00 
2011-06-20,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,195.54 ,195.54 ,0.00 ,0.00 ,0.00 ,0.00 
2011-06-30,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,201.80 ,201.80 ,0.00 ,0.00 ,0.00 ,0.00 
