station_code,station_name,ProvinceZH,CityZH,Lon,Lat,对照点,Fenwei,Province,CityEN,designation,YRD,PRD,keyregion,GADM_ID_2,CityID,CityGADM,NAME_2,keyregion2018
2385A,市监测站,河南,鹤壁,114.17,35.9019,N,FALSE,Henan,Hebi,26+2,FALSE,FALSE,none,115,350,115,Hebi,2+26
2384A,开发区管委会(停运200112),江西,上饶,117.9033,28.4303,Y,FALSE,Jiangxi,Shangrao,none,FALSE,FALSE,none,183,28,183,Shangrao,
2358A,新监测站,江西,鹰潭,117.0564,28.2642,N,FALSE,Jiangxi,Yingtan,none,FALSE,FALSE,none,186,352,186,Yingtan,
2357A,龙虎山,江西,鹰潭,116.9622,28.095,Y,FALSE,Jiangxi,Yingtan,none,FALSE,FALSE,none,186,352,186,Yingtan,
2356A,新钢氧气厂,江西,新余,114.9119,27.8042,Y,FALSE,Jiangxi,Xinyu,none,FALSE,FALSE,none,184,134,184,Xinyu,
2355A,市气象局,江西,新余,114.9314,27.8036,N,FALSE,Jiangxi,Xinyu,none,FALSE,FALSE,none,184,134,184,Xinyu,
2354A,第二水厂,江西,新余,114.9289,27.8328,N,FALSE,Jiangxi,Xinyu,none,FALSE,FALSE,none,184,134,184,Xinyu,
2353A,飞宇,江西,新余,114.9831,27.8344,N,FALSE,Jiangxi,Xinyu,none,FALSE,FALSE,none,184,134,184,Xinyu,
2352A,北岗(对照点),江西,新余,115.0586,27.7758,Y,FALSE,Jiangxi,Xinyu,none,FALSE,FALSE,none,184,134,184,Xinyu,
2351A,安源区政府,江西,萍乡,113.865,27.6178,N,FALSE,Jiangxi,Pingxiang,none,FALSE,FALSE,none,182,342,182,Pingxiang,
2350A,市环保局,江西,萍乡,113.8686,27.6442,N,FALSE,Jiangxi,Pingxiang,none,FALSE,FALSE,none,182,342,182,Pingxiang,
2359A,财苑宾馆,江西,鹰潭,117.0281,28.2403,N,FALSE,Jiangxi,Yingtan,none,FALSE,FALSE,none,186,352,186,Yingtan,
2349A,市政府车库,江西,萍乡,113.8447,27.6231,N,FALSE,Jiangxi,Pingxiang,none,FALSE,FALSE,none,182,342,182,Pingxiang,
2347A,武功山气象站(对照点),江西,萍乡,114.0944,27.4948,Y,FALSE,Jiangxi,Pingxiang,none,FALSE,FALSE,none,182,342,182,Pingxiang,
2346A,陶研所,江西,景德镇,117.2461,29.2956,N,FALSE,Jiangxi,Jingdezhen,none,FALSE,FALSE,none,179,220,179,Jingdezhen,
2345A,台达陶瓷,江西,景德镇,117.1558,29.2647,N,FALSE,Jiangxi,Jingdezhen,none,FALSE,FALSE,none,179,220,179,Jingdezhen,
2344A,兽医站,江西,景德镇,117.1983,29.2786,N,FALSE,Jiangxi,Jingdezhen,none,FALSE,FALSE,none,179,220,179,Jingdezhen,
